Time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,CH9,CH10,Sampling rate
0,4.7178,9.4932,1.296,-1.8711,-3.7614,-0.35538,3.1323,-0.71738,1.2523,5.8676,128
0.0078125,9.3794,20.981,8.4661,3.9932,3.9447,-0.98036,6.6137,-1.5659,2.6094,9.9904,
0.015625,7.4441,19.272,9.3499,0.4484,6.7521,-0.99056,1.7036,-7.8633,-12.752,1.2668,
0.023438,22.444,32.598,25.251,13.851,22.67,-4.0671,6.4964,-7.4326,-13.097,3.2393,
0.03125,39.617,40.384,39.216,33.127,31.718,-0.92727,11.208,-6.0387,-11.428,5.3883,
0.039063,43.132,39.974,36.266,25.116,22.57,0.77801,10.493,-5.3395,-14.26,1.6032,
0.046875,42.6,44.519,36.318,25.241,24.127,10.631,19.127,3.734,-5.2312,9.8301,
0.054688,43.003,45.035,34.954,24.456,19.779,13.311,22.311,5.375,0.69294,13.974,
0.0625,31.996,37.292,25.427,16.195,10.967,15.047,20.152,4.7198,-3.3923,12.872,
0.070313,25.324,28.843,17.169,7.8806,1.2825,3.8594,12.336,0.08869,-4.3867,9.2134,
0.078125,27.169,26.002,16.026,4.7016,-1.15,2.0294,7.2825,-4.1633,-4.4865,4.677,
0.085938,11.473,16.165,6.4468,-2.0008,-7.5906,-5.9243,-4.2838,-12.394,-11.923,-3.2216,
0.09375,16.404,18.716,10.159,0.76863,-1.6413,-11.226,-5.0743,-17.075,-15.474,-2.843,
0.10156,23.493,23.171,14.894,0.1869,1.0426,-1.7286,1.7658,-13.097,-9.3028,2.6214,
0.10938,16.973,26.126,13.718,0.56355,2.3453,-3.0544,4.4903,-10.667,-11.384,1.5428,
0.11719,16.175,26.16,15.506,3.1447,6.327,-0.41918,6.5953,-8.543,-11.982,3.6032,
0.125,24.242,29.666,19.043,7.8319,7.7136,-0.19184,9.2231,-3.931,-5.1276,7.0264,
0.13281,27.203,25.662,15.747,5.3333,2.1326,-3.7647,5.8222,-5.0854,-11.082,3.4994,
0.14063,15.49,23.313,11.639,1.0272,-0.27925,1.6981,6.244,-1.2739,-10.953,7.0764,
0.14844,13.751,24.316,11.667,1.7785,2.5898,6.9395,10.342,1.9872,-7.6269,11.534,
0.15625,16.647,25.188,13.614,6.5893,1.9999,1.2133,9.3252,0.50029,-3.7191,12.212,
0.16406,24.506,22.467,13.741,5.4664,-2.2728,-4.9865,7.044,-2.257,-5.3214,11.969,
0.17188,19.313,19.628,9.8423,-1.4334,-8.2706,2.0828,6.0903,-1.5853,-7.2608,8.3733,
0.17969,7.2308,12.496,0.45885,-8.054,-15.116,4.5129,6.3864,0.43019,-2.2203,6.2778,
0.1875,2.9838,11.068,-3.3525,-13.674,-18.922,5.9706,4.7607,-3.2271,-5.5981,2.8879,
0.19531,12.7,15.862,3.7152,-0.59217,-11.361,4.1676,3.5071,-3.8328,-8.0081,3.5781,
0.20313,20.146,22.848,9.6249,-3.5756,-3.2574,-1.4063,4.3259,-6.5958,-10.307,2.4031,
0.21094,19.084,25.897,12.126,-1.1898,3.5794,-3.5498,3.7054,-7.2601,-11.493,5.9367,
0.21875,30.468,34.814,25.454,13.962,16.794,-8.4614,5.627,-10.277,-18.472,5.6805,
0.22656,38.097,44.515,37.648,22.057,28.496,-0.56821,15.17,-0.11342,-7.6985,13.55,
0.23438,34.782,46.889,36.083,15.441,28.229,0.40956,18.72,1.4498,-8.7852,14.037,
0.24219,43.466,52.442,42.792,25.256,30.958,7.5161,23.863,5.9444,-6.6934,18.973,
0.25,44.468,50.163,40.161,23.762,30.648,10.009,24.858,9.0839,-5.8655,21.286,
0.25781,43.192,49.763,35.946,16.803,27.627,16.171,28.318,13.675,-4.9418,22.572,
0.26563,42.037,46.838,33.534,17.856,20.609,17.457,26.738,13.917,-1.9033,21.862,
0.27344,36.188,43.893,29.924,9.6604,18.722,20.589,27.97,18.873,4.8694,25.821,
0.28125,29.92,36.548,24.07,12.028,13.525,13.169,20.828,10.134,-2.8829,18.986,
0.28906,20.512,25.353,13.421,0.26228,5.9819,-4.0092,7.0502,-6.1566,-19.93,2.5569,
0.29688,27.017,31.042,19.064,4.591,12.407,-3.4643,9.0903,-5.1352,-16.455,7.0358,
0.30469,19.399,26.517,10.241,-4.2029,4.5489,-5.3611,7.023,-9.4464,-23.055,4.3796,
0.3125,23.314,34.366,17.723,3.1589,6.7218,-1.47,13.767,-3.5828,-18.458,9.9023,
0.32031,24.018,36.206,16.735,-2.0588,5.6416,6.4739,17.366,2.8061,-11.468,13.909,
0.32813,34.489,39.615,21.873,4.2914,6.2121,14.915,23.933,10.837,-5.2089,19.577,
0.33594,34.805,41.769,23.112,4.9933,7.6022,20.747,27.107,13.859,1.9843,20.413,
0.34375,30.116,41.653,22.588,0.76041,10.686,18.55,27.252,14.84,-0.82668,22.628,
0.35156,39.273,49.819,32.127,10.248,19.755,20.828,33.577,20.343,2.5394,29.455,
0.35938,40.942,53.335,35.848,13.939,27.381,15.924,36.21,18.99,-1.5198,33.403,
0.36719,41.211,54.619,37.826,20.397,32.966,19.818,34.483,19.143,-0.76665,31.685,
0.375,46.268,55.956,42.237,24.259,38.945,20.798,34.78,19.72,0.31,31.581,
0.38281,35.813,49.536,33.446,12.796,27.958,16.432,30.343,15.008,-6.8158,24.796,
0.39063,26.763,44.552,26.158,5.9763,19.649,13.028,24.703,10.173,-9.6901,18.906,
0.39844,31.857,43.719,27.873,6.947,17.428,10.686,21.158,8.0375,-10.91,16.802,
0.40625,42.484,49.011,32.651,10.682,19.844,15.058,25.85,8.4068,-9.892,20.755,
0.41406,31.767,40.508,23.786,4.3194,11.515,15.111,22.51,6.0567,-9.2699,17.141,
0.42188,25.985,36.719,17.238,1.0724,4.7696,13.713,20.351,6.2839,-4.1603,17.742,
0.42969,30.178,35.95,16.77,3.4129,4.3322,4.4007,17.841,1.4689,-10.648,16.254,
0.4375,37.563,39.974,25.127,12.769,9.4178,6.2809,17.511,2.1332,-12.883,13.032,
0.44531,41.68,50.394,34.96,14.394,23.564,14.378,25.817,8.8981,-6.8985,20.596,
0.45313,49.347,56.817,39.243,15.173,28.397,18.378,31.263,10.144,-6.2241,22.218,
0.46094,44.358,54.215,37.527,16.226,28.314,14.487,28.522,7.8756,-10.19,17.853,
0.46875,51.163,57.558,44.531,25.052,32.706,21.366,33.283,13.007,-1.31,21.86,
0.47656,47.05,52.601,39.367,21.921,28.739,25.887,33.944,16.398,-0.2972,26.089,
0.48438,41.383,47.379,32.223,14.851,21.56,18.545,27.842,12.704,-2.7421,20.48,
0.49219,35.34,42.366,26.042,6.4014,12.163,13.201,24.592,10.742,-1.8727,21.875,
0.5,34.415,39.528,23.339,8.551,9.6896,12.21,20.59,8.9211,-3.6414,18.727,
0.50781,35.033,36.619,25.228,13.028,10.75,7.4862,15.851,1.7244,-16.241,11.044,
0.51563,31.629,35.991,23.022,7.4954,9.1975,8.4598,14.582,0.95373,-13.855,9.6863,
0.52344,35.852,39.23,28.488,15.411,17.848,5.0615,14.88,0.85307,-12.569,10.821,
0.53125,32.944,38.049,29.16,17.322,21.577,1.4924,9.8437,-3.2035,-15.774,6.5062,
0.53906,37.461,41.11,34.398,20.401,25.959,-1.8655,12.396,-5.8013,-17.597,6.7467,
0.54688,37.429,43.926,35.132,20.235,27.688,6.927,18.187,1.972,-11.227,13.735,
0.55469,42.376,48.964,38.059,24.356,30.515,13.369,26.93,9.2484,-8.6531,22.163,
0.5625,32.673,42.642,30.964,20.049,21.833,13.101,25.51,10.402,-5.1066,22.923,
0.57031,31.732,38.342,25.857,15.082,12.867,8.5713,17.065,4.5296,-10.193,15.151,
0.57813,31.466,31.973,23.006,14.097,6.1412,2.5237,10.459,-2.1279,-20.849,8.3051,
0.58594,31.975,29.4,21.689,9.6169,6.6612,0.87204,8.9228,-3.2856,-21.505,7.899,
0.59375,17.707,23.853,13.746,0.16034,3.8877,-3.7758,5.8312,-8.4047,-25.055,3.2272,
0.60156,26.569,30.129,18.203,6.1075,5.6414,1.086,7.7794,-3.9908,-16.392,5.2309,
0.60938,21.097,25.679,16.574,7.4989,-0.1661,1.1697,6.0806,-8.0509,-21.913,0.26698,
0.61719,20.263,26.632,14.681,3.5203,2.9663,-1.8182,7.6907,-6.2283,-21.985,4.3613,
